"id","field_name","account_prefix","sign","balance_type","cumulative"
"map_0015_20","activo_inmovilizado_intangible","20","1","debit-credit","1"
"map_0015_280","activo_inmovilizado_intangible","280","-1","debit-credit","1"
"map_0015_290","activo_inmovilizado_intangible","290","-1","debit-credit","1"
"map_0020_21","activo_inmovilizado_material","21","1","debit-credit","1"
"map_0020_281","activo_inmovilizado_material","281","-1","debit-credit","1"
"map_0020_291","activo_inmovilizado_material","291","-1","debit-credit","1"
"map_0025_22","activo_inversiones_inmobiliarias","22","1","debit-credit","1"
"map_0025_282","activo_inversiones_inmobiliarias","282","-1","debit-credit","1"
"map_0025_292","activo_inversiones_inmobiliarias","292","-1","debit-credit","1"
"map_0030_240","activo_inversiones_empresas_grupo_lp","240","1","debit-credit","1"
"map_0030_241","activo_inversiones_empresas_grupo_lp","241","1","debit-credit","1"
"map_0030_242","activo_inversiones_empresas_grupo_lp","242","1","debit-credit","1"
"map_0030_250","activo_inversiones_empresas_grupo_lp","250","1","debit-credit","1"
"map_0030_2530","activo_inversiones_empresas_grupo_lp","2530","1","debit-credit","1"
"map_0030_2533","activo_inversiones_empresas_grupo_lp","2533","1","debit-credit","1"
"map_0030_2534","activo_inversiones_empresas_grupo_lp","2534","1","debit-credit","1"
"map_0030_2535","activo_inversiones_empresas_grupo_lp","2535","1","debit-credit","1"
"map_0030_254","activo_inversiones_empresas_grupo_lp","254","1","debit-credit","1"
"map_0030_2553","activo_inversiones_empresas_grupo_lp","2553","1","debit-credit","1"
"map_0030_2554","activo_inversiones_empresas_grupo_lp","2554","1","debit-credit","1"
"map_0030_2555","activo_inversiones_empresas_grupo_lp","2555","1","debit-credit","1"
"map_0030_256","activo_inversiones_empresas_grupo_lp","256","1","debit-credit","1"
"map_0030_293","activo_inversiones_empresas_grupo_lp","293","-1","debit-credit","1"
"map_0030_2943","activo_inversiones_empresas_grupo_lp","2943","-1","debit-credit","1"
"map_0030_2944","activo_inversiones_empresas_grupo_lp","2944","-1","debit-credit","1"
"map_0030_2945","activo_inversiones_empresas_grupo_lp","2945","-1","debit-credit","1"
"map_0030_2953","activo_inversiones_empresas_grupo_lp","2953","-1","debit-credit","1"
"map_0030_2954","activo_inversiones_empresas_grupo_lp","2954","-1","debit-credit","1"
"map_0030_2955","activo_inversiones_empresas_grupo_lp","2955","-1","debit-credit","1"
"map_0035_243","activo_inversiones_financieras_lp","243","1","debit-credit","1"
"map_0035_244","activo_inversiones_financieras_lp","244","1","debit-credit","1"
"map_0035_245","activo_inversiones_financieras_lp","245","1","debit-credit","1"
"map_0035_246","activo_inversiones_financieras_lp","246","1","debit-credit","1"
"map_0035_247","activo_inversiones_financieras_lp","247","1","debit-credit","1"
"map_0035_248","activo_inversiones_financieras_lp","248","1","debit-credit","1"
"map_0035_249","activo_inversiones_financieras_lp","249","1","debit-credit","1"
"map_0035_251","activo_inversiones_financieras_lp","251","1","debit-credit","1"
"map_0035_252","activo_inversiones_financieras_lp","252","1","debit-credit","1"
"map_0035_257","activo_inversiones_financieras_lp","257","1","debit-credit","1"
"map_0035_258","activo_inversiones_financieras_lp","258","1","debit-credit","1"
"map_0035_259","activo_inversiones_financieras_lp","259","1","debit-credit","1"
"map_0035_260","activo_inversiones_financieras_lp","260","1","debit-credit","1"
"map_0035_265","activo_inversiones_financieras_lp","265","1","debit-credit","1"
"map_0035_266","activo_inversiones_financieras_lp","266","1","debit-credit","1"
"map_0035_296","activo_inversiones_financieras_lp","296","-1","debit-credit","1"
"map_0035_297","activo_inversiones_financieras_lp","297","-1","debit-credit","1"
"map_0035_298","activo_inversiones_financieras_lp","298","-1","debit-credit","1"
"map_0040_474","activo_activos_impuesto_diferido","474","1","debit-credit","1"
"map_0060_3","activo_existencias","3","1","debit-credit","1"
"map_0065_430","activo_deudores_comerciales","430","1","debit-credit","1"
"map_0065_431","activo_deudores_comerciales","431","1","debit-credit","1"
"map_0065_432","activo_deudores_comerciales","432","1","debit-credit","1"
"map_0065_433","activo_deudores_comerciales","433","1","debit-credit","1"
"map_0065_434","activo_deudores_comerciales","434","1","debit-credit","1"
"map_0065_435","activo_deudores_comerciales","435","1","debit-credit","1"
"map_0065_436","activo_deudores_comerciales","436","1","debit-credit","1"
"map_0065_437","activo_deudores_comerciales","437","1","debit-credit","1"
"map_0065_440","activo_deudores_comerciales","440","1","debit-credit","1"
"map_0065_441","activo_deudores_comerciales","441","1","debit-credit","1"
"map_0065_446","activo_deudores_comerciales","446","1","debit-credit","1"
"map_0065_449","activo_deudores_comerciales","449","1","debit-credit","1"
"map_0065_460","activo_deudores_comerciales","460","1","debit-credit","1"
"map_0065_470","activo_deudores_comerciales","470","1","debit-credit","1"
"map_0065_471","activo_deudores_comerciales","471","1","debit-credit","1"
"map_0065_472","activo_deudores_comerciales","472","1","debit-credit","1"
"map_0065_473","activo_deudores_comerciales","473","1","debit-credit","1"
"map_0065_490","activo_deudores_comerciales","490","-1","debit-credit","1"
"map_0065_493","activo_deudores_comerciales","493","-1","debit-credit","1"
"map_0065_544","activo_inversiones_financieras_cp","544","1","debit-credit","1"
